Old URL Slug,New Canonical Slug,New Guide Title
/switching-from-a-learning-management-system-platform-to-thrive-apprentice/,/how-to-switching-to-thrive-apprentice-from-another-lms/,Switching to Thrive Apprentice from Another LMS
/switching-from-learndash-to-thrive-apprentice/,/how-to-switching-to-thrive-apprentice-from-another-lms/,Switching to Thrive Apprentice from Another LMS
/switching-from-teachable-to-thrive-apprentice/,/how-to-switching-to-thrive-apprentice-from-another-lms/,Switching to Thrive Apprentice from Another LMS
/navigating-the-thrive-apprentice-settings-page/,/how-to-thrive-apprentice-settings-guide/,Thrive Apprentice Settings Guide
/getting-started-with-the-thrive-apprentice-general-settings/,/how-to-thrive-apprentice-settings-guide/,Thrive Apprentice Settings Guide
/using-dynamic-labels-in-thrive-apprentice/,/how-to-thrive-apprentice-settings-guide/,Thrive Apprentice Settings Guide
/login-and-access-restriction-settings-in-thrive-apprentice/,/how-to-setting-up-login-registration-and-access-restrictions/,"Setting Up Login, Registration, and Access Restrictions"
/setting-up-login-and-registration-page-in-thrive-apprentice/,/how-to-setting-up-login-registration-and-access-restrictions/,"Setting Up Login, Registration, and Access Restrictions"
/configuring-the-login-access-restriction-rules-in-thrive-apprentice/,/how-to-setting-up-login-registration-and-access-restrictions/,"Setting Up Login, Registration, and Access Restrictions"
/registering-a-new-user-in-thrive-apprentice/,/how-to-setting-up-login-registration-and-access-restrictions/,"Setting Up Login, Registration, and Access Restrictions"
/protecting-the-course-overview-page-in-thrive-apprentice/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/using-the-access-requirements-to-create-subscribers-only-courses/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/using-the-dynamic-access-restriction-labels-in-thrive-apprentice/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/overriding-access-restrictions-for-non-logged-in-users/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/accessing-restriction-rules-at-product-level/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/understanding-the-priority-of-access-rules-when-a-course-is-protected-by-multiple-restrictions/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/advanced-access-control-guide-for-thrive-apprentice/,/how-to-access-restrictions-and-rules-in-thrive-apprentice/,Access Restrictions and Rules in Thrive Apprentice
/managing-course-status-in-thrive-apprentice-publish-unpublish-hide-archive-schedule/,/how-to-managing-your-courses-status-scheduling-bulk-actions/,"Managing Your Courses (Status, Scheduling, Bulk Actions)"
/scheduling-thrive-apprentice-to-publish-at-a-specific-date/,/how-to-managing-your-courses-status-scheduling-bulk-actions/,"Managing Your Courses (Status, Scheduling, Bulk Actions)"
/structuring-managing-your-courses-using-the-bulk-actions/,/how-to-managing-your-courses-status-scheduling-bulk-actions/,"Managing Your Courses (Status, Scheduling, Bulk Actions)"
/hiding-premium-courses-in-the-list-of-courses/,/how-to-managing-your-courses-status-scheduling-bulk-actions/,"Managing Your Courses (Status, Scheduling, Bulk Actions)"
/using-the-members-section-of-thrive-apprentice/,/how-to-managing-members-in-thrive-apprentice/,Managing Members in Thrive Apprentice
