Old URL Slug,New Canonical Slug,New Guide Title
/the-number-quiz-type-in-thrive-quiz-builder/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/what-happens-when-the-scores-are-tied-in-a-category-quiz-type/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/the-survey-quiz-type-in-thrive-quiz-builder/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/the-percentage-quiz-type-in-thrive-quiz-builder/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/the-right-wrong-quiz-type-in-thrive-quiz-builder/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/the-category-quiz-type-in-thrive-quiz-builder/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/formula-for-calculating-the-result-of-a-percentage-quiz-type/,how-to-understand-quiz-types-in-thrive-quiz-builder,2. Understanding Quiz Types
/using-the-social-share-templates-in-thrive-quiz-builder/,how-to-choose-and-customize-quiz-templates,3. Choosing and Customizing Quiz Templates
/using-the-list-building-template-in-thrive-quiz-builder/,how-to-choose-and-customize-quiz-templates,3. Choosing and Customizing Quiz Templates
/customizing-the-gain-customer-insights-template/,how-to-choose-and-customize-quiz-templates,3. Choosing and Customizing Quiz Templates
/picking-a-quiz-style-in-thrive-quiz-builder/,how-to-choose-and-editing-your-quiz-style,4. Choosing and Editing Your Quiz Style
/editing-the-quiz-style/,how-to-choose-and-editing-your-quiz-style,4. Choosing and Editing Your Quiz Style
/adding-multiple-choice-questions-using-thrive-quiz-builder/,how-to-add-and-manage-quiz-questions,5. Adding and Managing Quiz Questions
/adding-open-ended-questions-to-a-quiz/,how-to-add-and-manage-quiz-questions,5. Adding and Managing Quiz Questions
/adding-audio-questions-to-a-quiz/,how-to-add-and-manage-quiz-questions,5. Adding and Managing Quiz Questions
/adding-video-questions-to-a-quiz/,how-to-add-and-manage-quiz-questions,5. Adding and Managing Quiz Questions
/linking-to-the-next-stage-in-a-quiz-manually-using-the-live-editor/,quiz-navigation-progress-bars-flow-control,6. Quiz Navigation Progress Bars
/adding-a-progress-bar-to-a-quiz-in-thrive-quiz-builder/,quiz-navigation-progress-bars-flow-control,6. Quiz Navigation Progress Bars
/adding-a-social-share-badge-to-your-quiz-results-page/,how-to-add-and-customizing-social-share-badges,7. Adding and Customizing Social Share Badges
/editing-the-thrive-quiz-builder-social-share-badge/,how-to-add-and-customizing-social-share-badges,7. Adding and Customizing Social Share Badges
/triggering-a-quiz-from-a-button/,how-to-publish-and-display-your-quiz,8. Publishing and Displaying Your Quiz
/displaying-a-finished-quiz-on-your-website/,how-to-publish-and-display-your-quiz,8. Publishing and Displaying Your Quiz
/hiding-an-opt-in-gate-from-logged-in-users/,how-to-use-the-opt-in-gate-in-thrive-quiz-builder,10. Using the Opt-in Gate
/using-dynamic-content-feature-on-the-opt-in-gate/,how-to-use-the-opt-in-gate-in-thrive-quiz-builder,10. Using the Opt-in Gate
/displaying-quiz-results-as-decimals-instead-of-whole-numbers-in-thrive-quiz-builder/,how-to-customize-your-quiz-results-page,11. Customizing Your Quiz Results Page
/adding-a-retake-the-quiz-link-button-in-the-quiz-results-page/,how-to-customize-your-quiz-results-page,11. Customizing Your Quiz Results Page
/using-dynamic-content-on-your-quiz-results-page/,how-to-customize-your-quiz-results-page,11. Customizing Your Quiz Results Page
/using-the-forward-results-to-url-option-in-thrive-quiz-builder/,how-to-configure-quiz-redirect-settings,12. Configuring Quiz Redirect Settings
/adding-redirect-settings-to-a-quiz-in-thrive-quiz-builder/,how-to-configure-quiz-redirect-settings,12. Configuring Quiz Redirect Settings
/sending-quiz-results-through-the-opt-in-gate-or-results-page/,how-to-deliver-results-directly-to-users-on-page-opt-in,13. Delivering Results Directly to Users
/setting-up-email-notifications-for-quiz-completions-in-notification-manager/,how-to-set-up-automated-email-notifications,14. Setting Up Automated Email Notifications
/enabling-email-notifications-for-completed-quizes-using-the-lead-generation-element/,how-to-set-up-automated-email-notifications,14. Setting Up Automated Email Notifications
/reading-the-card-quick-link-statistics-in-thrive-quiz-builder/,how-to-manage-your-quizzes-in-thrive-quiz-builder,17. Managing Your Quizzes
/cloning-a-quiz-with-thrive-quiz-builder/,how-to-manage-your-quizzes-in-thrive-quiz-builder,17. Managing Your Quizzes
/importing-and-exporting-thrive-quiz-builder-quizzes/,how-to-manage-your-quizzes-in-thrive-quiz-builder,17. Managing Your Quizzes
/ensuring-the-users-quiz-progress-is-saved/,how-to-manage-your-quizzes-in-thrive-quiz-builder,17. Managing Your Quizzes
/when-to-load-an-html-code-to-track-conversions/,how-to-a-b-test-your-quiz-pages-for-higher-conversions,19. A/B Testing Your Quiz Pages
